Id,Time[ns],SD card (SD mode): Raw bits,SD card (SD mode): Decoded bits,SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
602,515701496.00,0,CARD_ECC_DISABLED,,,
603,515701536.00,0,ERASE_RESET,,,
604,515701576.00,0,CURRENT_STATE,,,
605,515701616.00,0,,,,
606,515701640.00,0,,,,
607,515701680.00,0,,,,
608,515701720.00,0,READY_FOR_DATA,,,
609,515701800.00,0,RSVD,,,
610,515701840.00,0,FX_EVENT,,,
611,515701880.00,0,APP_CMD,,,
612,515701920.00,0,Reserved for SDIO card,,,
613,515701984.00,0,AKE_SEQ_ERROR,,,
614,515702024.00,0,Reserved for application specific commands,,,
615,515702368.00,0,Reserved for manufacturer test mode,,,
616,515702408.00,0,,,,
617,515702448.00,0,,,CRC: 0x0,
618,515703560.00,0,,,,
619,515703640.00,0,,,,
620,515703944.00,0,,,,
621,515703984.00,0,,,,
622,515705216.00,0,,,,
623,515707096.00,0,,,,
624,515707400.00,0,,,End bit,
625,606078192.00,0,,,Start bit,CMD33 (ERASE_WR_BLK_END): CMD33
626,606078216.00,1,,,Transmission: host,
627,606078232.00,1,,,Command: ERASE_WR_BLK_END (33),
628,606078256.00,0,,,,
629,606078272.00,0,,,,
630,606078296.00,0,,,,
631,606078312.00,0,,,,
632,606078336.00,1,,,,
633,606078376.00,1,,,Argument: 0x80000000,
634,606078416.00,0,,,,
635,606078456.00,0,,,,
636,606078480.00,0,,,,
637,606078496.00,0,,,,
638,606078520.00,0,,,,
639,606078536.00,0,,,,
640,606078560.00,0,,,,
641,606078576.00,0,,,,
642,606078600.00,0,,,,
643,606078640.00,0,,,,
644,606078680.00,0,,,,
645,606078704.00,0,,,,
646,606078720.00,0,,,,
647,606078744.00,0,,,,
648,606078760.00,0,,,,
649,606078784.00,0,,,,
650,606078800.00,0,,,,
651,606078824.00,0,,,,
652,606078840.00,0,,,,
653,606078864.00,0,,,,
654,606078904.00,0,,,,
655,606078944.00,0,,,,
656,606078968.00,0,,,,
657,606078984.00,0,,,,
658,606079008.00,0,,,,
659,606079024.00,0,,,,
660,606079048.00,0,,,,
661,606079064.00,0,,,,
662,606079088.00,0,,,,
663,606079128.00,0,,,,
664,606079168.00,0,,,,
665,606079208.00,0,,,CRC: 0x0,
666,606079232.00,0,,,,
667,606079248.00,0,,,,
668,606079272.00,0,,,,
669,606079288.00,0,,,,
670,606079312.00,0,,,,
671,606473304.00,0,,,,
672,606473328.00,0,,,End bit,
673,606473368.00,0,,,Start bit,Response: R1
674,606473384.00,0,,,Transmission: card,
675,606473408.00,0,,,Command: GO_IDLE_STATE (0),
676,606473448.00,0,,,,
677,606473488.00,0,,,,
678,606473528.00,0,,,,
679,606473552.00,0,,,,
680,606473568.00,0,,,,
681,606473592.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
682,606473608.00,0,ADDRESS_ERROR,,,
683,606473632.00,0,BLOCK_LEN_ERROR,,,
684,606473672.00,0,ERASE_SEQ_ERROR,,,
685,606473712.00,0,ERASE_PARAM,,,
686,606473752.00,0,WP_VIOLATION,,,
687,606473776.00,0,CARD_IS_LOCKED,,,
688,606473792.00,0,LOCK_UNLOCK_FAILED,,,
689,606473832.00,0,COM_CRC_ERROR,,,
690,606473856.00,0,ILLEGAL_COMMAND,,,
691,606473936.00,0,CARD_ECC_FAILED,,,
692,606474000.00,0,CC_ERROR,,,
693,606474040.00,0,ERROR,,,
694,606474080.00,0,Reserved,,,
695,606474160.00,0,Reserved for DEFERRED_RESPONSE,,,
696,606474224.00,0,CSD_OVERWRITE,,,
697,606474240.00,0,WP_ERASE_SKIP,,,
698,606474448.00,0,CARD_ECC_DISABLED,,,
699,606474488.00,0,ERASE_RESET,,,
700,606474528.00,0,CURRENT_STATE,,,
701,606474568.00,0,,,,
702,606474608.00,0,,,,
703,606474632.00,0,,,,
704,606474648.00,0,READY_FOR_DATA,,,
705,606474672.00,0,RSVD,,,
706,606474712.00,0,FX_EVENT,,,
707,606474752.00,0,APP_CMD,,,
708,606474792.00,0,Reserved for SDIO card,,,
709,606474832.00,0,AKE_SEQ_ERROR,,,
710,606474856.00,0,Reserved for application specific commands,,,
711,606474896.00,0,Reserved for manufacturer test mode,,,
712,606474936.00,0,,,,
713,606474976.00,0,,,CRC: 0x0,
714,606475016.00,0,,,,
715,606475080.00,0,,,,
716,606475096.00,0,,,,
717,606475120.00,0,,,,
718,606475160.00,0,,,,
719,606475200.00,0,,,,
720,606475280.00,0,,,End bit,
721,607159680.00,0,,,Start bit,CMD2 (ALL_SEND_CID): Ask card for CID number
722,607159720.00,1,,,Transmission: host,
723,607159760.00,0,,,Command: ALL_SEND_CID (2),
724,607159784.00,0,,,,
725,607159800.00,0,,,,
726,607159824.00,0,,,,
727,607159840.00,1,,,,
728,607159864.00,0,,,,
729,607159880.00,0,,Stuff bits,Argument: 0x00000000,
730,607159904.00,0,,,,
731,607159920.00,0,,,,
732,607159944.00,0,,,,
733,607159984.00,0,,,,
734,607160024.00,0,,,,
735,607160064.00,0,,,,
736,607160104.00,0,,,,
737,607160128.00,0,,,,
738,607160144.00,0,,,,
739,607160168.00,0,,,,
740,607160184.00,0,,,,
741,607160208.00,0,,,,
742,607160224.00,0,,,,
743,607160248.00,0,,,,
744,607160264.00,0,,,,
